Interpret;Titel;Länge
Kiss;I Was Made For Lovin' You;02:27
Kiss;God Gave Rock N' Roll To You;05:18
Kitty Wells;Kitty Wells / Heartbreak USA;02:38
Kiz;Die Sennerin vom Königsee;03:41
Klaus Badelt & London Symphony Orchestra;He's A Pirate;01:32
Klaus Pruenster;Wunderwelt;04:16
Klee;Tausendfach;03:52
Klee;2 Fragen;04:01
König Der Löwen;Der Ewige Kreis;04:05
Königwerq;Unschlagbar;03:30
Königwerq;König des Leids;03:26
Konstantin Wecker;Wenn Der Sommer Nicht Mehr Weit Ist;04:57
Kosheen;Damage;06:30
Kosheen;Overkill;03:38
Kosheen;Like A Book;03:35
Kosheen;Same Ground Again;04:40
Kosheen;Guilty;03:30
Kosheen;Chances;03:35
Kosheen;Out Of This World;04:51
Kosheen;Wish You Were Here;04:57
Kosheen;Thief;04:36
Kosheen;Under Fire;03:58
Kosheen;Not Enough Love;05:17
Kosheen;Cruel Heart;04:14
Kosheen;Marching Orders;05:01
Kosheen;Your Life;04:03
Kosheen;Addict;04:44
Kosheen;All In My Head (Radio Edit);04:05
Kosheen;Recovery;05:39
Kosheen;Catch;03:21
Kraftklub;Fenster;04:32
Kraftklub;Dein Lied;03:55
Kraftwerk;Die Roboter;03:39
Kreator;Winter Martyrium;05:43
Kreator;Renewal;04:35
Kruder & Dorfmeister;Lexicon;01:06
Kruder and Dorfmeister;Sofa Rockers;03:58
KT Tunstall;False Alarm;03:48
Kummer;Nicht die Musik;01:58
Kummer;9010;03:29
Kummer;Bei Dir;03:42
Kummer & Max Raabe;Der Rest meines Lebens;02:48
Kurt Rydl;Jingle Bells;02:15
Kurt Sanderling: Philharmonia Orchestra;Beethoven: Symphony #5 In C Minor, Op. 67 - 1. Allegro Con Brio;08:09
Kurt Sanderling: Philharmonia Orchestra;Beethoven: Symphony #5 In C Minor, Op. 67 - 2. Andante Con Moto;10:43
Kurt Sanderling: Philharmonia Orchestra;Beethoven: Symphony #5 In C Minor, Op. 67 - 1. Allegro Con Brio;08:09
Kurt Sanderling: Philharmonia Orchestra;Beethoven: Symphony #5 In C Minor, Op. 67 - 2. Andante Con Moto;10:43
Kurt Sanderling: Philharmonia Orchestra;Beethoven : Symphoniy No. 5 III Allegro;06:05
Kurt Sanderling: Philharmonia Orchestra;Beethoven : Symphoniy No. 5 IV Allegro - Presto;10:35
Kurt Sanderling: Philharmonia Orchestra;Beethoven : Symphoniy No. 7 I Poco Sostenuto - Vivace;14:17
Kurt Sanderling: Philharmonia Orchestra;Beethoven : Symphoniy No. 7 II Allegretto;10:01
Kurt Sanderling: Philharmonia Orchestra;Beethoven : Symphoniy No. 7 III Presto - Assai Meno Presto;09:45
Kurt Sanderling: Philharmonia Orchestra;Beethoven : Symphoniy No. 7 IV Allegro Con Brio;07:16
Kylie Minogue;Can't Get You Out Of My Head;03:49
Kylie Minogue;Love at First Sight;03:59
Kylie Minogue;Fever;03:31
Kylie Minogue;Give It To Me;02:49
Kylie Minogue;Come Into My World;04:31
Kylie Minogue;In Your Eyes;03:20
Kylie Minogue;Dancefloor;03:25
Kylie Minogue;Burning Up;03:58
Kylie Minogue;Giving You Up;03:33
La Brigade;Meurt mais ne se rend pas (feat Shurik'n, Faf Larage);03:26
La brigade;A Quoi Se Résume Ma Vie;04:39
La Brigade;Liberez;04:34
La Calaca;El Tecolote;04:19
La clinique;La Playa;03:59
LA Confidential;Untitled;01:55
La Montse;Estoy Aqui;03:21
La Populär;Landino;02:16
La Rocca;Elementis;03:32
La Rocca;House Music (Message MIX);05:30
LAB;Beat The Boys;02:25
Labba;Did It Again;02:52
Labretta;Bimbo;03:34
Lacuna Coil;Swamped;04:02
Lacy J. Dalton;Talkin' It Easy;03:27
Lady Violet;Inside To Outside;03:41
Lamar;Fly (The Lonely Shepherd);03:43
Lamb;Trans Fatty Acid;08:31
Lara Fabian;Adagio;04:28
Larry Gatlin & The Gatlin Brothers;Houston (Means I'm One Day Closer To You);02:53
Last days of disco;Got To Be Real (Single Version);03:45
Laura branigan;Self Control;04:05
Laura Pausini;E Ritorno Da Te;04:01
Laura Pausini;La Solitudine;04:23
Laura Pausini;Non Ce;04:15
Laura Pausini;Strani Amori;04:17
Laura Pausini;Gente (Ordinary People);04:37
Laura Pausini;Incancellabile;03:46
Laura Pausini;Le Cose Che Vivi;04:28
Laura Pausini;Ascolta Il Tuo Cuore;04:39
Laura Pausini;La Mia Risposta;03:43
Laura Pausini;In Assenza Di Te;04:28
Laura Pausini;Un'emergenza D'amore;04:33
Laura Pausini;One More Time;04:21
Laura Pausini;Tra Te E Il Mare;03:49
Laura Pausini;Il Mio Sbaglio Piu Grande;03:06
Laura Pausini;Una Storia Che Vale;04:13
Laura Pausini;La Prospettiva Di Me;03:05
Laura Pausini;Vivimi;03:54
Laura Pausini;Resta In Ascolto;03:29
Laura Pausini;Il Tuo Nome In Maiuscolo;03:19
Laura Pausini;Benedetta Passione;04:12
Laura Pausini;Come se non fosse stato mai amore;04:00
Laura Pausini;Cosi' Importante;03:29
Laura Pausini;Parlami;03:43
Laura Pausini;Dove L'aria E' Polvere;03:47
Laura Pausini;Amare Veramente;04:00
Laura Pausini;Mi Abbandono a Te;04:43
Laura Pausini & Gilberto Gil;Seamisai (Se Que Me Amavas Featuring Gilberto Gil);03:39
Laurent daniels;I´m at peace;03:07
Le Castle Vania;Shots Fired;03:12
LeAnn Rimes;Nothing Better To Do;04:25
Leanne Rimes;Can't Fight the Moonlight;03:07
Leanne Rimes;The Right Kind of Wrong;03:46
Leanne Rimes;Can't Fight The Moonlight;03:35
Leaves Eyes;Elegy;05:07
Lee DeWyze;Blackbird Song;04:14
Lee-Cabrera Feat. Mim;I Watch You (Radio Edit);02:51
Leftfield;Snakeblood;05:39
Leftfield (With Toni Halliday);Original;04:09
Lefty Frizzell;Saginaw Michigan;03:03
Lemonheads;Mrs. Robinson;03:43
Len;Steal My Sunshine;03:52
Lena Horne;Let It Snow! Let It Snow! Let It Snow!;02:25
Lena Horne;Stormy Weather;03:20
Lena Horne;Santa Claus Coming To Town;02:43
Lena, Felix & die Kita-Kids;Es ist Dezember;03:12
Lena, Felix & die Kita-Kids;Leise rieselt der Schnee;01:49
Lena, Felix & die Kita-Kids;Morgen, Kinder, wird's was geben;02:49
Lena, Felix & die Kita-Kids;Es ist für uns eine Zeit angekommen;01:33
Lena, Felix & die Kita-Kids;In der Weihnachtsbäckerei;02:53
Lena, Felix & die Kita-Kids;Schneeflöckchen, Weißröckchen;01:21
Lena, Felix & die Kita-Kids;Fröhliche Weihnacht;02:14
Lena, Felix & die Kita-Kids;Am Weihnachtsbaum die Lichter brennen;02:44
Lena, Felix & die Kita-Kids;O Tannenbaum;01:56
Lena, Felix & die Kita-Kids;Alle Jahre wieder;01:45
Lena, Felix & die Kita-Kids;Süßer die Glocken nie klingen;02:36
Lena, Felix & die Kita-Kids;Ihr Kinderlein kommet;03:04
Lena, Felix & die Kita-Kids;Stern über Bethlehem;02:34
Lena, Felix & die Kita-Kids;Kommet, ihr Hirten;02:16
Lena, Felix & die Kita-Kids;Nun singet und seid froh;02:20
Lena, Felix & die Kita-Kids;Eine Muh, eine Mäh;02:32
Lena, Felix & die Kita-Kids;Lasst uns froh und munter sein;01:42
Lena, Felix & die Kita-Kids;Kling, Glöckchen, Klingelingeling;02:04
Lena, Felix & die Kita-Kids;Still, still, still, weil's Kindlein schlafen will;01:54
Lena, Felix & die Kita-Kids;O du fröhliche;02:25
Lena, Felix & die Kita-Kids;Stille Nacht, heilige Nacht;02:15
Lene Marlin;Sitting Down Here;03:55
Lenny Kravitz;Are You Gonna Go My Way;03:31
Lenny Kravitz;Fly Away;03:41
Lenny Kravitz;Rock And Roll Is Dead;03:24
Lenny Kravitz;Again;03:48
Lenny Kravitz;It ain´t over til it´s over;04:02
Lenny Kravitz;Can´t get you out of my mind;04:33
Lenny Kravitz;Mr. Cab Driver;03:50
Lenny Kravitz;Heaven Help;03:10
Lenny Kravitz;American Woman;04:21
Lenny Kravitz;Stand By My Woman;04:19
Lenny Kravitz;Always On The Run;03:52
Lenny Kravitz;I Belong To You;04:17
Lenny Kravitz;Believe;04:55
Lenny Kravitz;Let Love Rule;05:42
Lenny Kravitz;Black Velveteen;04:48
Leo;Californication (feat. Jared Dines, Rabea Massaad, Rob Scallon, Garrett Peters, Eric Calderone & Robert Baker);05:35
Leo;Sultans of Swing (Metal Version) [feat. Mary Spender];05:09
Leona Naess;Calling;03:42
Leonard Bernstein: New York Philharmonic Orchestra;Sinfonie Nr.5 - Adagietto (Teil 1);04:17
Leonard Bernstein: New York Philharmonic Orchestra;Hänsel und Gretel - Abendsegen;03:45
Leonard Cohen;Suzanne;03:50
Leonard Cohen;Waiting For The Miracle;03:43
Leonard Cohen;The Future;03:49
Leonard Cohen;Hallelujah;04:39
Leonhard Mahlich;Rentiere sind besser als Menschen;00:52
"Leontyne Price; Erich Leinsdorf: RCA Italiana Opera Orchestra";Puccini: Madama Butterfly - Un Bel Di;04:26
"Leontyne Price; Thomas Schippers: RCA Italiana Opera Orchestra";Verdi: La Forza Del Destino - Pace, Pace, Mio Dio;05:49
Leroy daniels;You don´t break my heart;03:37
Les Brown & His Band Of Renown;I've Got My Love To Keep Me Warm;02:47
Les Freres Guissé;Jikko;03:45
Les humphries singers;Mexico;03:43
Les Nubians;Autour De Minuit;03:07
Ligabue, Luciano Pavarotti;Certe Notti;04:18
Lil' Flip Featuring Ghostface Killah & Raekwon of Wutang Clan;I Gotta Get Paid;03:49
Lila Downs;Naila;03:10
Limp Bizkit;Intro;01:18
Limp Bizkit;Hot Dog;03:50
Limp Bizkit;My Generation;03:41
Limp Bizkit;Full Nelson;04:07
Limp Bizkit;My Way;04:33
Limp Bizkit;Rollin' (Air Raid Vehicle);03:33
Limp Bizkit;Livin' It Up;04:24
Limp Bizkit;The One;05:43
Limp Bizkit;Getcha Groove On;04:29
Limp Bizkit;Take A Look Around;05:21
Limp Bizkit;It'll Be Ok;05:06
Limp Bizkit;Boiler;07:00
Limp Bizkit;Hold On;05:47
Limp Bizkit;Outro;09:49
Limp Bizkit;Rollin;03:33
Limp Bizkit;My Way;04:32
Limp Bizkit;Mission Impossible II Theme;05:17
Limp Bizkit;Turn Me Loose (feat. Eminem);03:21
Limp Bizkit;Nookie;04:49
Limp Bizkit;Re-Arranged;05:54
Limp Bizkit;Nobody Like You;04:20
Limp Bizkit;N 2 Gether Now;04:49
Limp Bizkit;No Sex;03:54
Limp Bizkit;A Lesson Learned;02:40
Limp Bizkit;Outro;07:18
Limp Bizkit Feat. DMX, Redman & Method Man;Rollin' (Urban Assault Vehicle);06:22
Lina Larissa Strahl;Up, Up, Up (Nobody's Perfect);02:38
Linkin Park;My December;04:17
Linkin Park;Numb (Piano);02:57
Linkin Park;Papercut;03:05
Linkin Park;Leave Out All the Rest;03:29
Linkin Park;In The End;03:36
Linkin Park;What I've Done;03:29
Linkin Park;Points Of Authority;03:27
Linkin Park;Numb;03:09
Lionel Richie;Say You, Say Me;04:00
Lionel Richie;Hello;04:09
Liquido;Narcotic Long Version;04:37
Lisa Germano;From A Shell;02:57
Lit;Over My Head;03:39
Litfiba;Spirito;04:48
Little Axe;Midnight Dream;04:04
Little Axe;Long Way To Go;02:45
Little Junior's Blue Flames;Love My Baby;02:36
Little Junior's Blue Flames;Mystery Train;02:23
Little Junior's Blue Flames;Feelin' Good;02:56
Little Milton;Beggin' My Baby;02:23
Little Milton;If You Love Me;02:35
Little Milton;Lookin' For My Baby;02:54
Little Milton;Somebody Told Me;02:54
Little Milton;Rebeat;02:34
Little Voice;Big Spender;01:48
Live;The Dolphin's Cry;04:18
Live;Live;03:51
Liza Minelli, Luciano Pavarotti;New York, New York;03:54
Locarno;La Bruja;04:35
London Symphony Orchestra, Eduardo Mata, Conductor;Enigma Variations, Op. 36 IX. Nimrod;04:26
London Symphony Orchestra, Harald Farberman, Conductor;Symphony No. 5 In C-Harp Minor - IV. Adagietto (Sehr Langsam);12:06
London Symphony Orchestra, Julian Armstrong, Conductor;Symphone No. 4 In A Major, Italian - III. Con Moto Moderato;06:52
London Symphony Orchestra, Leopold Ludwig, Conductor;Symphony No. 40 In G Minor, K. 550 - II. Andante;08:52
London Symphony Orchestra, Walter Goehr, Conductor, Tossy Spivakovsky, Volin;Melody, Op. 42, No. 3;04:13
Lorena Poggi;Maldetta Primavera;04:07
Lorena Poggi;Maledetta Primavera;04:07
Loretta Lynn;Loretta Lynn / You Ain't Woman Enough;02:14
Lorin Maazel: Philharmonia Orchestra & Chorus;Puccini: Madama Butterfly - Humming Chorus;03:13
Lorrie Morgan & Sammy Kershaw;He drinks Tequilla;03:09
Los Angeles Guitar Quartet;Lotus Eaters;03:25
Los　Hermanos　Rios;Son Huini;03:02
Lou Monte;Dominick The Donkey;02:27
Lou Rawls;Have Yourself A Merry Little Christmas;03:41
Lou Reed;Perfect Day;03:42
Lou Reed feat. Bono & etc.;Perfect Day;03:48
Louie Austin;Hoping (Radio Mix);03:51
Louis Armstrong;Mack the Knife (A Theme From The Threepenny Opera);03:23
Louis Armstrong;Back O' Town Blues;03:50
Louis Armstrong;Black And Blue;04:39
Louis Armstrong;Ain't Misbehavin';04:03
Louis Armstrong;Basin Street Blues;05:39
Louis Armstrong;Cabaret;03:11
Louis Armstrong;Canal Street Blues;03:00
Louis Armstrong;When The Red, Red, Robin, Comes Bob, Bob Bobbin' Along;02:10
Louis Armstrong;Six Foot Four;02:30
Louis Armstrong;Mahogany Hall Stomp;03:54
Louis Armstrong;When It's Sleepytime Down South;03:24
Louis Armstrong;All Of Me;03:52
Louis Armstrong;West End Blues;04:17
Louis Armstrong;Struttin' With Some Barbecue;05:20
Louis Armstrong;Indiana;03:50
Louis Armstrong;St. James Infirmary;04:48
Louis Armstrong;Some Day You'll Be Sorry;04:07
Louis Armstrong;New Orleans Stomp;03:22
Louis Armstrong;Ill be Glad When Youre Dead (Your Rascal You);03:05
Louis Armstrong;La Vie En Rose;03:25
Louis Armstrong;Dream A Little Dream Of Me;03:15
Louis Armstrong;On The Sunny Side Of The Street;05:50
Louis Armstrong;When You're Smiling;04:01
Louis Armstrong;I´m grazy ´bout my baby;04:29
Louis Armstrong;Dream A Little Dream Of Me;03:05
Louis Armstrong;Perdido Street Blues;04:50
Louis Armstrong;What A Wonderful World;02:19
Louis Armstrong;Georgia On My Mind;03:20
Louis Armstrong & The Commanders;Cool Yule;02:55
Louis Armstrong & The Commanders;Zat You Santa Claus;02:39
Louis Armstrong With Gordon Jenkins And His Orchestra;White Christmas;02:39
Louis Armstrong With Gordon Jenkins And His Orchestra;Winter Wonderland;02:59
Louis Jordan And His Orchestra;May Everyday Be Christmas;03:10
Louisan, Anette;Das Gefühl;02:45
Luca Carboni;Silvis Io Sai;04:46
Luciano Pavarotti;L'elisere d'amore;05:00
Luciano Pavarotti;I Lombardi alla prima crociata;05:23
Luciano Pavarotti;Donizetti: L'Elisir D'Amor - Una Furtiva Lacrime;05:00
Luciano Pavarotti;Quando Le Sere Al Placido: Luisa Miller (Luciano Pavarotti);05:13
Luciano Pavarotti;Fra Poco A Me Ricovero: Lucia di Lammermoor (Luciano Pavarotti);06:26
Luciano Pavarotti;Puccini: La Bohème - O Soave Fanciulla;04:02
Luciano Pavarotti;Lucia Perdona;05:31
Luciano Pavarotti;Questa O Quella: Rigoletto (Luciano Pavarotti);02:08
Luciano Pavarotti;La Donna E Mobile: Rigoletto (Luciano Pavarotti);02:25
Luciano Pavarotti;Massenet: Manon - Dispar, Vision;04:50
Luciano Pavarotti;Mamma (Luciano Pavarotti);02:56
Luciano Pavarotti;Oh! Fede Negar Potessi Agli Occhi Miei!... Quando Le Sere Al Placide;05:26
Luciano Pavarotti;La Mia Letizia Infondere;05:23
Luciano Pavarotti;Rondine Al Nido (Luciano Pavarotti);04:12
Luciano Pavarotti;Bellini: I Puritani - Credeasi, Misera;05:03
Luciano Pavarotti;Lolita: Peccia (Luciano Pavarotti);02:52
Luciano Pavarotti;Amor Ti Vieta: Fedora (Luciano Pavarotti);01:55
Luciano Pavarotti;Vesta La Giubba: I Pagliacci (Luciano Pavarotti);02:58
Luciano Pavarotti;Chitarra Romana: (Luciano Pavarotti);03:22
Luciano Pavarotti;La Mia Canzone Al Vento (Luciano Pavarotti);03:05
Luciano Pavarotti;Non Ti Scordar Di Me (Luciano Pavarotti);03:22
Luciano Pavarotti;Che Gelida Manina: La Boheme (Luciano Pavarotti);04:14
Luciano Pavarotti;O Sole Mio (Luciano Pavarotti);02:55
Luciano Pavarotti;Torna A Surriento (Luciano Pavarotti);02:44
Luciano Pavarotti;Nessun Dorma: Turandot (Luciano Pavarotti);02:52
Luciano Pavarotti;Dalla: Caruso;05:21
Luciano Pavarotti, Elton John;Live Like Horses;04:59
Luciano Pavarotti, Enrique Iglesias, Aqua, Eurythmics, Savage Garden, Irene Grandi, George Michael, Skunk Anansie, Tracy Chapman, Zucchero, Caetano Veloso, Ars Canto G. Verdi, Cambodian And Tibetan Children's Choir, Orchestra Sinfonica Italiana & José Mol;All You Need Is Love;04:14
Luciano Pavarotti, Eurythmics, Orchestra Sinfonica Italiana & José Molina;There Must Be an Angel Playing with My Heart;04:28
Luciano Pavarotti, Mónica Naranjo, Ars Canto G. Verdi, Cambodian And Tibetan Children's Choir, Orchestra Sinfonica Italiana & José Molina;Bizet: Agnus Dei;03:14
"Luciano Pavarotti; Leone Magiera: Royal Philharmonic Orchestra";Puccini: Tosca - Act 3: E Lucevan Le Stelle;03:14
Lucio Dalla;Tutta La Vita;04:51
Lucio Dalla;Canzone;03:43
Lucio Dalla;Canzone (Fargetta Remix);06:00
Lucio Dalla;Washington;05:08
Lucy Liu;Queen Of The Crime Council;00:57
Ludwig Hirsch;I lieg am Ruck'n;05:09
Ludwig Hirsch;Komm großer schwarzer Vogel;06:53
Ludwig Van Beethoven;Symphony No. 3 E Flat Major OP. 55 Macia funebre;16:30
Ludwig Van Beethoven;Symphony No. 2 F Major OP.68 Allegro ma non trappo;10:31
Ludwig Van Beethoven;Symphony No. 9 OP.125 Presto-Allegro Assai;04:36
Ludwig van Beethoven, composer. Seattle Symphony. Gerard Schwarz, director;Symphony No. 9 (Scherzo);01:15
Luis E. Bacalov;The Grand Duel: (Parte Prima);03:24
Lunatic calm;Leave You Far Behind;03:13
Luttenberger*Klug;Vergiss mich;03:51
Lynard Skynard;Sweet Home Alabama;04:59
Lynn Anderson;Rose Garden;02:53
Mabel;Melba - Mabel;03:33
Machine Head;Hallowed Be Thy Name;07:27
Machine Head;Darkness Within;06:27
Macy Gray;I Try;03:55
Macy Gray;Winter Wonderland;02:54
Madonna;hey mr. dj;05:37
Madonna;I Deserve It;04:23
Madonna;Beautiful Stranger;04:21
Madsen;Du Schreibst Geschichte;03:12
Madsen;Die Perfektion (Single Version);03:13
Madsen;Immer Mehr;02:54
Madsen;Baut Wieder auf;03:04
Madsen;Die Perfektion;03:13
Madsen;Vielleicht;03:36
Maggie Reilly;Tears in the Rain;03:44
Maggie Reilly;Wait;04:22
Mago de Oz;La Santa Compana;05:34
Malaria vs. chicks on speed;Kaltes Klares Wasser;04:33
Malaya;Tell Me Why (Smooth Radio Edit);03:39
Malcolm Yelvington;It's Me Baby;02:25
Malcolm Yelvington;Drinkin' Wine Spo-Dee-O-Dee;02:53
Mamselle Ruiz;Petrona;04:10
Mana;Oye Mi Amor;04:58
Mana;ANA;05:06
Mana;Ay, Doctor;05:28
Mana;Eres Mi Religion;05:28
Manau;La Poupée (feat. Maurane);03:58
Manau;Faut pas faire chier mémé;04:21
Manau;Panique Celtique;03:34
Manau;le chant des druides;04:16
Manau;La Tribu De Dana;04:47
Manau;L'avenir Est Un Long Passe;04:42
Mando Diao;God Knows;03:50
Manenti\Tiziana;Batte Il Cuore;03:43
Mango;Amore Per Te;03:45
Manni Montana & Sweet Susie Feat. Skero;Wien, oh Wien!;04:02
Manowar;Warriors of the World United (Remastered);05:51
Manuel Straube & Pia Allgaier;Liebe öffnet Tür'n;02:05
Manuel Straube, Tommy Amper, Benjamin Grund, Stefan Thomas, Florian Wolf, Thomas Hohenberger & Frank Oliver Weißmann;Kaltes Herz;01:45
Marc Anthony;I Need To Know;03:49
Marc Cohn;Walking In Memphis;04:18
Marc Terenzi;Love To Be Loved By You;03:58
Marco Ferrari;Angeli;04:01
Marco Ferrari;Angeli;04:01
Marco MAsini;Nel mondo dei sogni;03:33
Marco Masini;Nel Mondo Dei Sogni;03:33
Marcy playground;It´s saturday;03:13
Maria Mena;Just Hold Me;04:25
Mariah carey;Hero;04:19
Mariella Nava;Così È La Vita;04:28
Marilyn Manson;Sweet Dreams (Are Made of This);04:41
Marina;Marina;03:38
"Mario Lanza; Constantine Callinicos: RCA Victor Symphony Orchestra";Verdi: Aida - Celeste Aida;04:23
Marius Müller-Westernhagen;Lass Uns Leben;04:22
Marius Müller-Westernhagen;Du Bist Nicht Allein;04:40
Marius Müller-Westernhagen;Rosanna;05:05
Marius Müller-Westernhagen;Sexy;05:32
Marius Müller-Westernhagen;Mit 18;05:12
Marius Müller-Westernhagen;Willenlos;03:23
Marius Müller-Westernhagen;Es Geht Mir Gut;04:48
Marius Müller-Westernhagen;Nimm Mich Mit 2000;06:25
Marius Müller-Westernhagen;Freiheit;02:39
Marius Müller-Westernhagen;Fertig;03:16
Marius Müller-Westernhagen;Mit Pfefferminz Bin Ich Dein Prinz;02:48
Marius Müller-Westernhagen;Wieder Hier;06:27
Marius Müller-Westernhagen;Schweigen Ist Feige;03:30
Marius Müller-Westernhagen;Rosi (Männer Sind So Schwach);04:37
Marius Müller-Westernhagen;Weil Ich Dich Liebe;04:47
Marius Müller-Westernhagen;Steh' Auf;04:30
Marius Müller-Westernhagen;Geiler Is' Schon;02:22
Marius Müller-Westernhagen;Johnny W.;03:28
Mark Chesnutt;I'm a saint;02:59
Mark Van Dale With Enrico;Water Verve;03:20
Marta Gómez;Carnavaliando;03:19
Martial;Un Peu De Soleil;04:27
Martina McBride;I Love You;02:52
Martina McBride;Concrete Angel;04:11
Marty Robbins;El Paso;04:21
Marty Robbins;I Walk Alone;03:01
Marvin Gay;I heard it through the;03:11
Marvin Gay;Aint no mountain high enough;02:31
Marvin Gay;I heard it through the grapeyard;03:17
Marvin Gaye & Tammi Terrell;Ain't No Mountain High Enough;02:29
Mary Blige;Sorry Seems To Be The Hardest Word;03:44
Massimo Di Cataldo;Come Sei Bella;04:45
Massiomo di Cataldo;Come Sei Bella;04:45
Massive Attack;Future Proof;05:40
Massive Attack;What Your Soul Sings;06:40
Massive Attack;Everywhen;07:39
Massive Attack;Special Cases;05:11
Massive Attack;Butterfly Caught;07:36
Massive Attack;Small Time Shot Away;07:59
Massive Attack;1 Against 1;05:42
Massive Attack;Daydreaming;04:14
Massive Attack;Safe From Harm;05:18
Massive Attack;One Love;04:48
Massive Attack;Unfinished Sympathy;05:20
Massive Attack;Teardrop;05:24
Massive Attack;Karmacorma;05:14
Massive Attack;Black Milk;06:21
Massive Attack;Paradise Circus;04:52
Massive Attack;Eurochild;05:04
Massive Attack;Dissolved Girl;06:06
Massive Attack;Protection;07:50
Massive Attack;Better Things;04:13
Massive Attack;Angel;06:16
Massive Töne;Elles Da;03:50
Massive Töne;Geld Oder Liebe;04:18
Master Mood;Master Mood;03:43
Masuko Ushioda (vn), Seiji Ozawa / Japan Philharmonic Symphony Orchestra;Violin Concerto No.1 In G Minor, Op.26 - I: Allegro moderato;08:13
Masuko Ushioda (vn), Seiji Ozawa / Japan Philharmonic Symphony Orchestra;II: Adagio;08:41
Masuko Ushioda (vn), Seiji Ozawa / Japan Philharmonic Symphony Orchestra;III: Finale (Allegro energico);07:01
Matia Bazar;Ti Sento;04:13
Matia Bazar;Messaggio d'amore;04:06
Matia Bazar;Messagio D´Amore;04:06
Matthias Reim;Verdammt Ich Lieb Dich;03:36
Mauro Picotto;Komodo;08:17
Mavi Phoenix;Bite;02:48
Mavi Phoenix;Aventura;03:18
Mavi Phoenix;Janet Jackson;03:29
Max Herre;Du Weißt (Bye Bye Baby);04:38
Max Herre Feat. Joy Denalane;1ste Liebe;04:18
Max Raabe;Kein Schwein ruft mich an;03:43
Maximilian Kraft;Mondschein-Sonate;06:03
Mecano;La Ragazze Come Me;03:30
meccano;Le ragazze come me;03:30
Medicine;Inferno;03:52
Megablast;Touch Me;05:05
Mel C;I Turn To You;05:51
Mel McDaniel;Louisiana Saturday Night;02:23
Mel Tillis;Southern Rains;02:36
Mel Tormé;The Christmas Song;03:06
Melanie C;Never be the the same again;04:52
Melanie C;Here it comes again;04:05
Melissa Etheridge;I Need to Wake Up;03:33
Melissa Etheridge;Bring Me Some Water;03:53
Melodeers;Rudolph The Red-Nosed Reindeer;02:19
Men at work;Down Under;03:46
Meredith Brooks;I Need;04:10
Meredith Brooks;Bitch;04:12
Meredith Brooks;Somedays;03:45
Meredith Brooks;Watched You Fall;04:51
Meredith Brooks;Pollyanne;03:14
Meredith Brooks;Shatter;03:59
Meredith Brooks;My Little Town;04:01
Meredith Brooks;What Would Happen;05:17
Meredith Brooks;It Don't Get Better;04:14
Meredith Brooks;Birthday;03:16
Meredith Brooks;Stop;05:01
Meredith Brooks;Wash My Hands;05:04
Merle Haggard & Jannie Fricky;Natural High;03:06
Metallica;Broken, Beat & Scarred;06:25
Metallica;The Day That Never Comes;07:56
Metallica;All Nightmare Long;07:58
Metallica;Cyanide;06:39
Metallica;The Unforgiven III;07:46
Metallica;The Judas Kiss;08:00
Metallica;Suicide & Redemption;09:57
Metallica;Suicide & Redemption Short;06:19
Metallica;Nothing Else Matters;06:29
Metallica;Fade to Black;06:55
Method Man & Redman;How High Part II;04:03
Mia;Komm Mein Mädchen;03:59
Mia Martini;Almeno Tu nell'universo;05:05
Mia Martini;Almeno Tu Nell'Universo;05:05
MIA.;Tanz Der Moleküle;03:57
Mia.;Sonne;03:34
Michael Buble;Feeling Good;03:25
Michael Dorn;worfmail.wav;00:03
Michael Jackson;Thriller;05:57
Michael Jackson;You Rock My World;04:25
Michael Jackson;They Don't Care About Us;04:11
Michel Blaise;Fem'm Sa;05:28
michelle weeks;Who 8 My Bits;09:09
Mick jagger;Wandering Spirit;04:19
Mick jagger;Evening Gown;03:32
Middle of the road;Chirpy Chirpy Cheep Cheep;02:57
Mika;Jet;04:18
Mika;Jamie;03:54
Mike Oldfield;Holy;04:38
Mike Oldfield;Hostage;04:09
Mike Oldfield;Far Country;04:25
Mike Oldfield;Innocent;03:30
Mike Oldfield;Runaway Son;04:07
Mike Oldfield;See The Light;03:59
Mike Oldfield;Earth Moving;04:04
Mike Oldfield;Blue Night;03:48
Mike Oldfield;Nothing But/Bridge To Paradise;08:40
Mike Oldfield;Sentinel;03:53
Mike Post And Pete Carpenter;Theme From The A-Team;03:27
Miles;Perfect World;03:09
Miles Davis;The Doo Bop Song;04:58
Miles Davis;Dr. Jekyll;05:49
Miles Davis;Miles;12:37
Miles Davis;So What [Remastered];09:05
Miles Davis;Saeta [Remastered];04:59
Miles Davis;Bye Bye Blackbird [Remastered];07:55
Miles Davis;The Buzzard Song [Remastered];04:08
Milla;Rocket Collecting;05:42
Milva;Sono nata il 21 a primaver;03:49
Milva;Sono Nata Il 21 A Primavera;03:49
Mind Over Matter;Shangri-La;05:28
Minisex;Ich Fahre Mit Dem Auto;02:39
Minnie Riperton;Lovin' You;03:46
Miranda;Vamos A La Playa;03:11
Miranda Lambert;White Liar;03:47
Miranda Lambert;I Can't Be Bothered;03:21
Miranda Lambert;Greyhound Bound For Nowhere;04:23
Miss Dynamite;Häxan;03:36
Miss peppermint;Welcome To Tomorrow (C.J. Stone & Akira Yamamoto Radio Edit);03:42
Missy Elliot;All N My Girl;03:27
